Business Name,Last Updated,Address,Materials Category,Accepted Materials
New York City Bulk Item Curbside Program,2016-02-23,"New York, NY 10001",Electronics,"Dehumidifiers, Humidifiers"
IMobile LLC,2012-02-29,"370 7th Ave, New York, NY 10001",Electronics,"Cell Phone Accessories, Cell Phones"
The 4th Bin,2010-02-17,"307 7th Ave, New York, NY 10001",Electronics,"Cell Phones, Desktop Computers, Inkjet Cartridges, LCD Computer Monitors, LCD Televisions, MP3 Players, Toner Cartridges"
Sprint Store,2013-07-30,"126 W 34th St, New York, NY 10001",Electronics,"Cell Phone Accessories, Cell Phones"
Willoughby's,2011-02-11,"298 5th Ave, New York, NY 10001",Electronics,"Cell Phones, Desktop Computers, Game Consoles, MP3 Players, Telephones"
Cartridge World,2013-05-15,"225 West 23rd Street, New York, NY 10011",Electronics,"Inkjet Cartridges, Toner Cartridges"
ProTek Recycling Inc.,2013-03-25,"276 5th Avenue, New York, NY 10001",Electronics,"Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
Tekserve,2011-01-23,"119 W 23rd St, New York, NY 10011",Electronics,"Desktop Computers, LCD Computer Monitors, Office Machines"
Staples,2013-09-04,"500 8th Avenue, New York, NY 10018",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Cartridge World,2013-05-15,"155 West 35th Street, New York, NY 10001",Electronics,"Inkjet Cartridges, Toner Cartridges"
Home Depot,2022-06-20,"40 W 23rd St, New York, NY 10010",Electronics,Cell Phones
Staples,2013-09-04,"16 East 34th Street, New York, NY 10016",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,2013-07-30,"175 5th Ave, New York, NY 10010",Electronics,"Cell Phone Accessories, Cell Phones"
Staples,2013-09-04,"641 Avenue of the Americas, New York, NY 10011",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,2013-09-04,"442 5th Avenue, New York, NY 10018",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Radius Recycling,2023-08-01,"11 Times Square, New York, NY 10036",Electronics,"Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal, Desktop Computers, Game Consoles, Hard Drives, Home Electronics"
Central Iron and Metal,2013-05-15,"505 W 27th St, New York, NY 10001",Electronics,Cables
Staples Copy and Print Shop,2013-09-04,"315 Park Avenue South, New York, NY 10010",Electronics,"Inkjet Cartridges, Toner Cartridges"
Staples,2012-12-14,"261 Madison Ave, New York, NY 10016",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,2013-07-30,"57 W 42nd St, New York, NY 10036",Electronics,"Cell Phone Accessories, Cell Phones"
Best Buy,2023-02-20,"529 5th Ave, New York, NY 10017",Electronics,"Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
"Mobile City NY, LLC",2012-02-29,"606 9th Ave, New York, NY 10036",Electronics,"Cell Phone Accessories, Cell Phones"
Staples,2012-12-14,"116 W 14th St, New York, NY 10011",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
IMobile LLC,2012-02-29,"39 W 14th St, New York, NY 10011",Electronics,"Cell Phone Accessories, Cell Phones"
Best Buy,2023-02-20,"52 E 14th St, New York, NY 10003",Electronics,"Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
"The Phone Center, Inc",2012-02-29,"232 3rd Ave, New York, NY 10010",Electronics,"Cell Phone Accessories, Cell Phones"
Staples,2013-09-04,"776 8th Avenue, Manhattan, NY 10036",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,2013-09-04,"5-9 Union Square West, New York, NY 10003",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,2013-09-04,"675 3rd Avenue, New York, NY 10017",Electronics,"Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,2013-07-30,"403 6th Ave, New York, NY 10014",Electronics,"Cell Phone Accessories, Cell Phones"
